onset	duration	sample	value
2884,044	1,008	721011	203
2885,052	4,016	721263	3
2889,068	4	722267	200
2893,068	4	723267	201
2897,068	2	724267	202
2899,068	1,008	724767	203
290,476	3,984	72619	201
2900,076	4,016	725019	3
2904,092	4	726023	200
2908,092	4	727023	201
2912,092	2	728023	202
2914,092	1,008	728523	203
2915,1	4,016	728775	4
2919,116	4	729779	200
2923,116	4	730779	201
2927,116	2	731779	202
2929,116	1,008	732279	203
2930,124	4,016	732531	3
2934,14	4	733535	200
2938,14	4,016	734535	201
294,46	2,016	73615	202
2942,156	2	735539	202
2944,156	1,008	736039	203
2945,164	4	736291	4
2949,164	4	737291	200
2953,164	4	738291	201
2957,164	2,016	739291	202
2959,18	1,008	739795	203
296,476	1,008	74119	203
2960,188	4	740047	4
2964,188	4	741047	200
2968,188	4	742047	201
297,484	4,016	74371	2
2972,188	2,016	743047	202
2974,204	0,992	743551	203
2975,196	4,016	743799	4
2979,212	4,016	744803	200
2983,228	4	745807	201
2987,228	2	746807	202
2989,228	1,008	747307	203
2990,236	4,016	747559	3
2994,252	4	748563	200
2998,252	4	749563	201
3002,252	2	750563	202
3004,252	1,008	751063	203
3005,26	4	751315	4
3009,26	4,016	752315	200
301,5	4	75375	200
3013,276	4	753319	201
3017,276	2	754319	202
3019,276	1,008	754819	203
3020,284	4	755071	3
3024,284	4,016	756071	200
3028,3	4	757075	201
3032,3	2	758075	202
3034,3	1,008	758575	203
3035,308	4,016	758827	3
3039,324	4	759831	200
3043,324	4	760831	201
3047,324	2	761831	202
3049,324	1,008	762331	203
305,5	4	76375	201
3050,332	4	762583	4
3054,332	4,016	763583	200
3058,348	4	764587	201
3062,348	2	765587	202
3064,348	1,008	766087	203
3065,356	4	766339	4
3069,356	4,016	767339	200
3073,372	4	768343	201
3077,372	2	769343	202
3079,372	1,024	769843	203
3080,396	4	770099	3
3084,396	4	771099	200
3088,396	4	772099	201
309,5	2	77375	202
3092,396	2	773099	202
3094,396	1,024	773599	203
3095,42	4	773855	3
3099,42	4,016	774855	200
31,052	4	7763	200
3103,436	3,984	775859	201
3107,42	2,016	776855	202
3109,436	0,992	777359	203
311,5	1,008	77875	203
3110,428	4,016	777607	4
3114,444	4	778611	200
3118,444	4	779611	201
312,508	4,016	78127	2
3122,444	2,016	780611	202
3124,46	0,992	781115	203
3125,452	4,016	781363	3
3129,468	4	782367	200
3133,468	4	783367	201
3137,468	2,016	784367	202
3139,484	1,008	784871	203
3140,492	4	785123	4
3144,492	4	786123	200
3148,492	4	787123	201
3152,492	2	788123	202
3154,492	1,024	788623	203
3155,516	4,016	788879	3
3159,532	4	789883	200
316,524	3,984	79131	200
3163,532	4	790883	201
3167,532	1,984	791883	202
3169,516	1,024	792379	203
3170,54	4	792635	4
3174,54	4,016	793635	200
3178,556	4	794639	201
3182,556	2,016	795639	202
3184,572	0,992	796143	203
3185,564	4	796391	3
3189,564	4,016	797391	200
3193,58	4	798395	201
3197,58	2	799395	202
3199,58	1,008	799895	203
320,508	4,016	80127	201
3200,588	4	800147	4
3204,588	4	801147	200
3208,588	4	802147	201
3212,588	2	803147	202
3214,588	1,024	803647	203
3215,612	4	803903	4
3219,612	4	804903	200
3223,612	4,016	805903	201
3227,628	1,984	806907	202
3229,612	1,024	807403	203
3230,636	4,016	807659	3
3234,652	8,992	808663	200
324,524	2	81131	202
3243,644	4	810911	201
3247,644	1,008	811911	202
3248,652	0,992	812163	203
3249,644	7,536	812411	3
3257,18	1,024	814295	103
3258,204	3,984	814551	200
326,524	1,008	81631	203
3262,188	4	815547	201
3266,188	1,008	816547	202
3267,196	0,992	816799	203
3268,188	3,568	817047	4
327,532	4	81883	1
3271,756	0,992	817939	104
3272,748	4,016	818187	200
3276,764	3,984	819191	201
3280,748	1,008	820187	202
3281,756	0,992	820439	203
3282,748	3,6	820687	3
3286,348	1,008	821587	103
3287,356	4	821839	200
3291,356	4	822839	201
3295,356	0,992	823839	202
3296,348	1,008	824087	203
3297,356	4,736	824339	4
3302,092	1,008	825523	104
3303,1	4	825775	200
3307,1	4	826775	201
